top_type,top_color,bottom_type,bottom_color,good_combination
t-shirt,white,jeans,blue,1
t-shirt,black,jeans,blue,1
hoodie,gray,jeans,black,1
polo,navy,chinos,khaki,1
shirt,blue,chinos,brown,1
sweater,burgundy,jeans,blue,1
t-shirt,red,shorts,khaki,1
shirt,white,trousers,black,1
blouse,pink,skirt,black,1
shirt,light_blue,jeans,dark_blue,1
tank_top,black,leggings,black,1
t-shirt,green,jeans,blue,1
sweater,navy,chinos,beige,1
t-shirt,orange,jeans,blue,0
shirt,purple,pants,green,0
t-shirt,yellow,jeans,red,0
polo,red,shorts,red,0
shirt,brown,pants,brown,0
t-shirt,neon_green,pants,neon_pink,0
hoodie,orange,sweatpants,purple,0
blouse,gold,skirt,silver,0
t-shirt,multicolor,pants,multicolor,0
shirt,plaid,pants,striped,0
sweater,pink,pants,red,0